,Symbol,Security,GICS,CIK,marketcap
1,ABT,Abbott Laboratories,Health Care,0000001800,212193853440
2,ABBV,AbbVie Inc.,Health Care,0001551152,190255906816
3,ABMD,Abiomed,Health Care,0000815094,14679720960
4,ACN,Accenture,Information Technology,0001467373,165878759424
5,ATVI,Activision Blizzard,Communication Services,0000718877,74074226688
6,ADBE,Adobe Inc.,Information Technology,0000796343,220044034048
7,AMD,Advanced Micro Devices,Information Technology,0000002488,102368657408
8,AAP,Advance Auto Parts,Consumer Discretionary,0001158449,10506838016
10,AFL,Aflac,Financials,0000004977,32976431104
11,A,Agilent Technologies,Health Care,0001090872,37278834688
13,AKAM,Akamai Technologies,Information Technology,0001086222,15403499520
17,ALXN,Alexion Pharmaceuticals,Health Care,0000899866,33581780992
18,ALGN,Align Technology,Health Care,0001097149,44716851200
21,ALL,Allstate Corp,Financials,0000899051,32286261248
22,GOOGL,Alphabet Inc. (Class A),Communication Services,0001652044,1367941447680
23,GOOG,Alphabet Inc. (Class C),Communication Services,0001652044,1367940923392
25,AMZN,Amazon.com Inc.,Consumer Discretionary,0001018724,1557491220480
30,AXP,American Express,Financials,0000004962,108963962880
31,AIG,American International Group,Financials,0000005272,38007562240
34,AMP,Ameriprise Financial,Financials,0000820027,25830213632
35,ABC,AmerisourceBergen,Health Care,0001140859,20720340992
37,AMGN,Amgen Inc.,Health Care,0000318154,129906147328
38,APH,Amphenol Corp,Information Technology,0000820313,37650837504
39,ADI,"Analog Devices, Inc.",Information Technology,0000006281,57481068544
40,ANSS,"ANSYS, Inc.",Information Technology,0001013462,29581496320
41,ANTM,Anthem,Health Care,0001156039,74253049856
42,AON,Aon plc,Financials,0000315293,51458818048
45,AAPL,Apple Inc.,Information Technology,0000320193,2035725107200
46,AMAT,Applied Materials Inc.,Information Technology,0000006951,108458352640
47,APTV,Aptiv PLC,Consumer Discretionary,0001521332,40460541952
49,ANET,Arista Networks,Information Technology,0001596532,21360633856
50,AJG,Arthur J. Gallagher & Co.,Financials,0000354190,23210051584
51,AIZ,Assurant,Financials,0001267238,7134819840
52,T,AT&T Inc.,Communication Services,0000732717,198744145920
54,ADSK,Autodesk Inc.,Information Technology,0000769397,60689362944
55,ADP,Automatic Data Processing,Information Technology,0000008670,74470121472
56,AZO,AutoZone Inc,Consumer Discretionary,0000866787,26398736384
61,BAC,Bank of America Corp,Financials,0000070858,299658018816
